review_text,age_range
"As a Researcher of 40 years, 20  working,writing,researching skincare/cosmetics, I don't understand the low ratings and comments.  \n.  ""Peach Puff"" is a long lasting formula.  \n.  It does deliver the right amount of product on the ""puff"".  \n.  The formula is light and not heavy like so many products.\n.  It does ""resist"" feathering and bleeding. \n\nMy skin tone is on the lighter side of light-medium.  I purchased BOY BYE and absolutely love it.           \n.  It's a beautiful color",2
"As a serum for hydration it works well, my skin felt smooth. But for spots treatment, which is what it claims to do, didn't work at all. Zero difference and I used 2 bottles every day am and pm with their exfoliating soap from the same line. Big disappointment!",4
"A sephora employee recommended this to me because she saw the redness on my face.  I have sensitive skin that gets dry and seriously this stuff stops the red and keeps my skin hydrated.  Its pricier than other things I've used, but it works and if you have skin redness you might want to give it a shot.",2
As far as eyeshadows go this wasn't bad but I was expecting a different consistency. I guess bouncy could be interpreted a couple of ways but this eyeshadow was downright dry and the application was not as smooth as I was expecting.,0
"Asian skin, 30 , severe atrophic scars in the T area. \nLet's be honest here pitted acne scars are to stay for life even with more invasive treatment   filler/laser. What the product does is to blur its appearance when wearing it, which seems to be working for me. Can't speak of its long term effect at this time but then again there are many variables and no single product can cure it.",0
"A simple soap, no bells and whistles.  I like the mild formula, sometimes it is nice to have a product that does just one thing - clean your skin - and does it well, without trying to throw in extra ingredients that end up irritating.  I like that I can lather this on my face and not worry about my eyes (though, obviously, you'll want to avoid getting it in your eyes, but if you do it won't sting).  If you're looking for a simple soap that cleans well and is not irritating, you won't find anything better!",2
"As much as I wanted to,  I just did not like this at all! I used with primer & without. Tried different brushes & techniques to no avail. The shadows were muddy & didn't blend well into each other. I can't explain but this palette just wasn't workable in any way. Powdery too which isn't that big a deal if they worked properly but they just didn't preform well. Returning as soon as I'm able to get to the store 45 minutes away from me.",3
"As much as I wanted to love this product unfortunately couldn't. It's still a great moisturizer, clean, very beautifully packaged and comes with a magnetic spatula (excellent). However, I wouldn't recommend it for dry skin, I have fairly dry skin and it's just not hydrating enough for me, I'm left with dry patches and tightening. For someone with combination of perhaps oily skin it'll work great.",4
"As noted in a couple other reviews, there is an odd and permeating odor to this product. I used for two weeks and then had to discontinue because I couldn’t tolerate the odor — something in the gel evaporated up in my nose like fumes.",2
"As others have stated the product is tiny, like TINY. I however love the lip balm. It feels great, tastes great, and keeps my lips super soft. I definely plan on purchasing it in full size. If you arent interested in brown/mauve lipstick, then Sex On the Peach isnt for you.",4
"As someone that suffers from sensitivities to practically everything, I can safely say that this cream is my Savior. Not only do I not react to it badly, it's soothing to the skin around my eyes. I've never had a cream that I could put even near my eyes without reacting badly. \n\nAs for the de-puffing agent, it works very well. My eyelids tend to swell on occasion, but they're doing it less frequently after using this cream for over 3 weeks now. I don't have under eye bags, so I can't attest to that. \n\nThe age-defy agent will take much longer to determine the effectiveness, but at least now I HAVE a cream for the skin around my eyes. That alone will help tenfold.",4
"as someone who has combination skin with dry, peeling checks and rosacea, this is a good cleanser. I do like how makeup melts off. however, the cleanser gets stuck when I am washing off sunscreen. The nose area gets ""stuck"", even when I emulsify with water.  on days where I wear sunscreen, a double cleanse with a makeup removal balm or oil will be needed.",3
"As someone who is very pale the foundation range for different undertones was great. I was matched by someone in the store and this shade was a perfect match. Because I'm so pale though, I really had to work to add some color back to my face. Because this foundation is so full coverage I almost looked ghostly because of how pale I am. Overall really nice and definitely wears well. But it does like to separate into water and the product if you let it sit so shake well before use.",0
"As someone with redness/roseaca I wanted to love this product.  It did seem to help with the redness however, I ended up with itchy breakouts where I applied it.  It is probably due to my sensitive skin so be careful if considering this if you are the same.",2
"As someone with very dry cheeks, cystic acne, and an oily t-zone, this product was a true lifesaver. My skin is truly all over the map and this product was able to provide moisture to areas that needed it, was not overly heavy where I am oily, and significantly reduce the amount of breakouts and cystic acne I have. I did need to use a lot of product each morning (about 3-4 pumps) so I went through it quickly and it has a really unappealing smell (kind of like plastic garbage bags). This all said, the product worked miracles on my skin and I can't wait for Sephora to re-stock so I can repurchase.",0
"As soon as I opened this up I knew I was gonna love it. The packaging is simple but very nice, I loved how it’s an ombré gradient - looks great on my nightstand (; the cream itself is very lightweight and weightless. It leaves my skin feeling very soft and didn’t leave it sticky at all. It just feels like my skin took a hydrating sip of water! Didn’t make my sensitive skin break out or anything. I’m seriously considering buying a bigger bottle because I love it so much! \n* I received this product for free for testing purposes.",0
"As soon as I saw this lot I fell in love and needed it, but once I got it I am a little bit underwhelmed.. I am very pale and the lightest shade looks very weird on my skin tone. I can make it work with lip liner and stuff but the lightest shade and the peach shade are just a little bit too light and look like concealer lips.. the darkest shade though I really like and I can mix it with the lightest shade and it is actually really beautiful. The metallic shade I don't think I would ever wear ... Just too 90s frosty.. the gloss is nice I think it would look great as a topper. All in all I say eh I wouldn't buy it again.. just stick to the single lipsticks but it's not horrible. I received this lot complimentary from influensters for reviews",0
"As you can see from the five stars that this item already has, this review doesn't even need to be written. But if you are new to the brand or are looking at this palette, let me say, since I have delved into the world that is Pat McGrath eyeshadow, I can tell you I understand now why it is such a cult favorite for makeup lovers and especially for high-end or luxury makeup lovers. Is the prize extremely high for her items? Yes. Is $125 US dollars too much for eye shadow palettes? I would say yes. at the end of the day we are just talking about eyeshadow. However, now that I have purchased Mothership palettes it will actually save me money because I will no longer buy 3-4 other ""lackluster"" palettes that can be hit or miss. If you're on the fence... JUST TAKE THE PLUNGE AND TRY IT! Her Astral shades are what will pull you in (the FOUR ""special shades"" at the end of her palettes). Layer them on top of another color and it is truly amazing how it will change your eye look COMPLETELY yet BEAUTIFULLY! Beware because you will get so many compliments...mark my words! I have six of her palettes (and I am on pins and needles waiting and anticipating the ""surprise"" US release of the Mothership 7 palette, a palette we didn't even know was coming!) and I would not part with a single one. Mothership 3, Mothership 5, Subversive Metalmorphosis, Blitz Astral Quad Ritualistic Rose, Mini Sublime, Mini Subversive... and hopefully soon to be the owner of Mothership 7, because it's right up my alley! Like I said, if you're on the fence, JUST TRY IT, YOU'LL NOT BE DISAPPOINTED! <3",2
"At 26 fine lines are just starting to become an issue, while combination skin and rough patches are an ongoing problem. I'm a huge fan of PTR and this serum is no exception. I usually have a purging period with retinoids but this just seemed to instantly work. My texture noticeably improved after a few uses - I do use a Clarisonic, but this helped with the lines forming around my eyes and temples and definitely smoothed my dry patches. My skin also looks brighter. This will definitely remain in my routine!",3
"At 52 some skincare has that wow effect but sometimes it only happens the first few times I use it. It's the products that continue to give my skin the smooth glowing appearance I'm going for, until the product is gone, that I give 5 stars to. I was going to use this one longer before I reviewed because I have those experiences but I really think this retinol might be a game changer for my skin, that's why I don't want to wait to share the results of the youthful appearance it is revealing. Make sure you start off slow if you try it. Once the first week or two then maybe twice then go from there.",3
"At first glance and try, it feels like any ordinary concealer but, at the end of the day, I did notice my pimple size was smaller and less irritated. It has a creamy consistency and is easily blendable. the only reason why I knocked off one star was because it didn't seem like a full coverage concealer but, it wasn't bad and I would purchase once I run out.",4
At first I loved this primer.  I ordered 2 backups since it had sold out. Keep away from under your eyes or anywhere near.  I started experiencing my mascara flaking off during the day. Really horribly actually. I thought it was the mascaras,3
"At first it didnt work that well, but after I learn little tricks from korean makeup artists this product became a super star. \n1)after skin care and sunscreen let the products absorb for about 5 min before applying makeup\n2)use about 1 drop (essential enough to have a thin layer to cover ur face)layering helps the makeup not cake and build up coverage without looking heavy \n3) be gentle when applying makeup",0
"At first I thought this would be my new favourite mascara, it went on well and my lashes looked full yet natural. At the end of a hot and busy day I noticed it was all smugged and melted and gave me racoon eyes. I was so disappointed, straight to the trash the sample went...",4
"At first, I used an entire tube with just minimal results.  THEN....I figured out you make it the FIRST thing you put on your eye.  I was putting it on last at night, but as soon as I starting putting it on before any of my other eye products....WOW!  I had some decent length before, but could never get my lashes to curl.  I used so, so many eyelash curlers, but as soon as I put any mascara, they would straighten right out again.  :/  So now my lashes are so long they hit the inside of my glasses and they curl!!!  :D  Totally worth every penny!\n\nAlso, my mom used it and she had NO eyelashes, but now she's got beautiful, lashy-lashes, too!  :D",3
"At first I was hesitant to use a foundation that had a natural, radiant finish because I have oily skin and was concerned that I was look like an even oiler mess. Surprisingly I really loved how this foundation looked like when first applied and even working an 8 hour shift everything still looked good! I may become a little oily throughout the day but it looks more like a nice dewy finish rather than completely fall apart oil slick. The foundation is a medium to full coverage and also feels very light weight. As long as you prep your skin right, you don't have to worry about looking cakey. Will for sure make a purchase of this foundation when the bank account lookin right lol",0
"At first, I was so impressed, with how great this looked over a mattifying primer. Peaches and cream, for Summer make up looks. ALAS! THERE ARE CHEMICAL SUNSCREENS!! This breaks my heart, as this looked the prettiest on my face! Why can't E.L. let people add their own sunscreens? More of us could enjoy this beautiful make up, if not made with SPF.",4
At first I was worried that this product would have a lemon scent since i don’t do well with scented products but this is completely scentless so that’s a huge plus for me! My skin is also very sensitive to everything but this product did not break me it. It left my skin soft and dewy!,0
"At first, Rose Blazer 89 is a soft, pretty pink.  However, it changed to bright fuchsia and sometimes red (which I love!) at random in the 3 days I used it. Great feel, softened my lips, but the color change is odd. This shade isn't for me.",4
"A tiny amount is all that is required for your face. Perfect finish, total moisture. If you want light moisture, this is not for you. If your skin needs moisture, just moisture, this is it. Not sticky or greasy. My dry almost 50 yo face loves this.",2
"A truly magical gloss. The formula is not to thick or thin, not sticky at all and last very well. The colour Whitespace is stunning, it had just the right amount of glitter that just transforms your look, I love it with just a liner or over lipstick. Not alot of product however I usually dont go through gloss quickly so that can be over looked. The colour alone is unique in itself not to many shades out there that are similar. Highly reccomend this to anyone looking for a sexy glossy and reflective lip.",0
"A truly pleasant surprise...I have been disappointed with some Tarte palettes over the past year but this one is pretty spot on with pigmentation with the exception of two shades that needed a bit of coaxing with a primer...They blended well and low and behold...NO MUDDY mess! YEA! I like the eyeliner, the mascara and the lip product too...Nice surprise...I took a chance...It paid off...Especially with the 20 percent off sale on sale items!",3
"Attempting a winter away from tanning beds Ive been trying a few self tanners. A sales associate recommended this one to me on my last Sephora trip. The colour was nice and the smell was far less than any Ive ever used - was super impressed. But it faded horribly on me. Super patchy and uneven, and I did all the usual steps to prevent it from happening. Ended up having to scrub by skin nearly raw in order to make it look a little less obvious. Maybe I got a bad batch but I'd splurge on St.Tropez and deal with the smell before ever using this again.",2
"At this point, I'm no stranger to Too Faced palettes and there have been some misses but this is such a hit! I was a bit on the fence because of my fair coloring but the shades are beautiful in person! So many pinks to choose from and the colors are super blendable. I haven't tried the darkest one yet but I can see myself using this every day. I'm so pleased. I took off one star because its supposed to have a scent but mine is barely there. I thought it would be like the Peach palette which was amazing! No worries, though, the quality more than makes up for it.❤",2
"At this price point, I didn't expect the quality that I received. Yes, they are a touch powdery, (so you gotta watch your fall out), but the color payoff is impressive! The colors are fun, are super bright and the pans are huge. You are getting so much for your money, considering the same quality eye shadows are sold for $20 each. \nSuch a great purchase! Also for anyone aging & not loving it, matte colors are our friends...another reason why this palette is fantastic! This would make a great gift for someone new to makeup that wants to play and likes color.",4
"Auntie Laura really looked out for her deeper complexion family. I've been missing out! I absolutely love this powder; its just as great as the lighter translucent one. I used Jackie's tip to apply after primer, and it literally keeps my face oil free throughout the day. No complaints!",0
"Average. the red is pretty in the bottle, and nice on, but has more of an orange tone than i expected. the glitter one is alright too, but nothing super special, and a bit hard to see because the glitter isn't super thick. i wouldn't repurchase this.",0
A very nice step in my routine for added moisture. I wouldn't call this a crucial product to have but I do absolutely love applying it everyday. It helps my skin feel softer and it's such a luxury experience. It lasts a long time and I do think it's worth it. A HG essence for me.,0
"A very rejuvenating mask! The night before I was in a Wedding, I hardly got any sleep. I woke up, used this mask at 6am, and felt radiant and clean throughout the entire day! I just wish the price was a little better for the .5 ounce, but it will give me at least 5 uses. I have very sensitive and oily skin, and I did have a touch of redness on my forehead immediately after, but it went away within an hour.",0
"Avobenzone and most non-physical sunscreens irritate my skin badly and cause my eyes to burn, water, and turn red.  I spend too many hours of my life looking for SPF eye creams/concealers/shadows that might....just might...not have Avobenone, and, believe me, they have been impossible to find before this one. Especially SPF 30! have I have very hooded eyes, so I'm not much of an eye shadow-wearer, but I do like some brightening and neutralization on my lids. Also, I live in a desert, so I need all the SPF I can get, every day.  If this cream eyeshadow did not have SPF (esp. 30!), I wouldn't have tried it, but I was so excited to see SPF 30 and no Avobenzone, I bought it on the spot.  I have a couple of eyeshadows that cost $18 a piece, and they are packaged in a nice tube with a soft applicator. I dislike the jar packaging, and the texture of this eyeshadow is such that it goes on best when I apply with my fingertips. I tried various brushes and sponges, and this kind of ""rolls"" off them, or applies unevenly and gunks up.  Fingertip application melts this onto my lids just the way I want it to look, and it stays put, pretty much without creasing or melting, all day long. I am very glad I purchased this, because it looks great (natural and brightening) and I really appreciate the SPF.",3
avoid this at all costs. it's just a chunky glitter mess. nothing is worth the cost. please don't waste 30 dollars on this. buy her other highlighters if you want a highlighter. this is just 90s glitter.,4
"Awesome product! I usually experience transfer of mascara under my eyes and smudging of eyeliner, as it's generally too oily. Most concealers add to that and I end up with raccoon eyes by the end of the day. Not so with this concealer! It has a nice matte finish, which is perfect for me! Will definitely purchase again!",4
"Awesome product, so soft and the scent is amazing! The size of the lip balm compare to other lip balms in tubes is better! This one has 6.5g, most have from 3g-4.5g for the same price or a little less or a little more. I love the size of the tube cause it's easy to find in my purse compare to Fresh lip treatments/balms... I'm just happy!",2
Awesome stuff. Even though I'm 400 years old and it's the middle of winter in NYC I finish the day with my skin feeling great - smooth and hydrated with all traces of makeup effortlessly gone. Will definitely buy again.,2
Awesome tinted eye cream but needs a better shade range. it goes on smooth and creamy but I'm a light medium skin tone and needed to use the darkest shade available so it didnt look crazy light under my eyes.,1
"Awful! I am a big fan of toners, emulsions, serums, etc. and received a sample packet and was excited to try it. I took my makeup off, washed my face, added a toner and then layered this product on my face. \n\nOHMYGOD it smelled terrible!!! I can't even describe it but the smell alone is a strong reason for not buying it. The REAL issue I have is how bad it STINGS! Within a minute my face started to feel prickly all over. I added my moisturizer and hoped it would go away. 10 minutes later my face still feels prickly and still smells. I had a few other sample os this and I'm tossing the lot. I can't believe the price tag on this item when I came to write this review!",4
"Awful. Settled in each individual pore so that I could see the product. When I layered my foundation on top (using both beauty blenders and, another time, a very high quality foundation brush), my pores looked even worse, like I had millions of pale freckles. Never again.",2
A wonderful you tuber recommended this lip scrubber and I love it. My lips are always dry and chapped and this exfoliating brush takes of the dead stuff and prepares my lips to receive a lip mask at night,2
Based on the online swatches and the photos I was so excited to get these but when I got them in person the colours were nothing like they looked online. I'm fairly light skinned and most of them made me look like I was wearing concealer on my lips. So disappointing.,4
"Basically, it made my dry skin feel even dryer. I was somewhat perplexed to why my skin wasn't doing well when I was using it. And now I am done and switched to a more hydrating product, my skin is suddenly all better. I, personally, didn't get any visible benefit from it. Perhaps someone with combo or oily skin will like it more.",0
"BC has the best brow products. But these one right here is perfect for every different occasion. From glam to natural look. When your on the go each separately, powder and wax-pencil  are perfect. But when you want that bold & defined brow go for the wax-pencil and powder my favorite.",1
"Beautiful an along with the Mascara I have Enjoyed the both of these Beautiful Wear ALL DAY Products!!! They both Really Brought out the Blue within my eyes, and made it So Easy to Wear ALL Day Long without any flaking, or Smearing what-so-ever!!! I first tried out a sample size from in Sephora's Beauty Offers of the Mascara, and Once I tried it I was Ordering a Fullsize within the hour, Along with this Eyeliner!!!!! This has replaced my Tom Ford Eyeliner Pen, (Now dont get me wrong, I still LOVE that lining Pen!) but this is a Great Everyday Use Pen. I wish they would both come in brown though!!! The size makes it Very Easy to hold and actually apply the liner onto the top of my lids, and theres NO SKIPPING of the formula like with other products I have purchased within the past (like the Fenty pen!) This pen has a formula which when applied over a glitter eyeshadow the glitter does Not Bleed through!!! Its been difficult to find a formula which does this!!! I'm So Glad after purchasing so many eyeliners and mascaras I've finially found a Pen that covers Over Glitter Eyeshadows!!! And the matching Mascara is WIN, WIN for me aswell!!! I gave it 5 Stars Also!!!",3
"Beautiful and very sparkly eyeshadow, but it creased and faded on me so quickly!   I even tried to a grippier primer and set my eyes, but the outcome was the same.  It might work or someone with drier kids and more lid space than me.",2
"beautiful colors, but the glitter eyeshadow can get kinda chunky monkey on you. kind of annoying bc it can flake off throughout the day too. still enjoy the product as it makes cut creases super easy when you're on the go.",0
"Beautiful colors in this ""bar"". It was quite pricey so I waited a few months before investing in this highlighter.  Pigment and delicate pressed powder were gorgeous and looked wonderful on my skin. My only issue is the size, it's a tiny little compact with tiny little bars. I pulled one out to see how deep it went and it was barely half an inch. I wish there was more or that it wasn't that expensive. love the product itself just very pricey.",2
Beautiful colors on Rose. Very creamy formula gives lips a moisturized feeling for hours. The liner color on this formula fades quickly. The rose shade not as fast but rose does not last nearly as long as the shade violine does so it lost a star.,3
"Beautiful color story and packaging, this was my first Melt purchase and I am not disappointed. Does take some time to blend and patience but would be expected with the level of pigment. Went on beautifully with some Fix It +",2
"Beautiful color story , the star is for the packaging and mj stamp in pan , I want to love this but omgoodness the fall out is Terrible!!!!!!  talk about ruining my two hours of expensive makeup( I was looking Amazing before applying this mess had Cauldlie underneath too)to wash it all off because of this clumpy powder and glitter chunk party..... so messy my clothes hands and cheeks, nose,  chin, neck , everywhere!!!",2
"Beautiful color story, this inspires me to do a lot of looks. However some of the shades are a little hard to work with. That matte teal shade needs to be built up a lot on the eye to show up, and it’s very easy to blend it away into nothing. It also easily becomes muddy with other shadows mixed with it. I also tried one of the shimmer shades and it ended up being closer to a glitter. I almost wished I would’ve used a glitter glue under it because of how chunky it was and how much fallout I got from it. Overall I created a pretty look but it did take longer than usual to get it the way I want it.",0
"Beautiful colour, luxurious finish and serious staying power! I wore this for an 8hr shift with no need to reapply. Even lasted through a pasta dinner! I did use a liner (Nyx), but didn't fill in my lips with it. Even the glossy finish lasted! When I wore without a liner it had minimal feathering and some fading at about the 7hr mark. The formula is quite unique. It's slightly tacky and makes lips look full and juicy as promised. Even leaves a nice stain!",1
"Beautiful eyeshadows by PMG, I have the bronze seduction palette and this is on pl ar eith her special formula. I love this quad due to the multi dimensional finish and endless possibilities as shadows alone or as toppers. I prefer this over the huda new nude as this formula is superior, buttery, and not stiff. the looks you can create look dimensional and beautiful and the packaging is lux. The gold is basic looking compared to the rest of the shades but it is beautiful and different from other golds. I recommend!",0
"Beautiful! I put Earth on my outer corners and crease, Atik as a transition on the top edge of the crease, Orion patted on the lid and brushed under the outer half as a liner, and Bellatrix as a liner under the inner half and inner points. Everything blended like a dream! I was afraid that it would be too much for my cool-leaning neutral fair skin tone, but it was perfect, and really made my brown eyes pop. Next time, I'll probably use a liquid shimmer on the inner points, but I love the look and I love how the shadows performed.",3
"Beautiful packaging. This pen feels so good in the hand and has the best weight to it.  It's more of a wet/inky formula.  Also it's dual ended. The side with the gold band is stunning, but the other side I didn't care for.  The formula is not waterproof. For this reason, it won't be my go to for daily use, but a gorgeous option for special occasions.",4
"Beautiful palette but limited look possibilities. I love pinks and enjoyed this palette a lot when I got it but with time I realized that the shades in here pull to a very similar pink that all my looks seemed similar. quality is nice but shadows could be more buttery and not as stiff for 65dls. Had to give it away, did not reach for it and I had it for over a year.",0
"beautiful palette, the colors show up well even on a woc. I am very pleased with this powder. the mattes are rich and the shimmer shades are easy to use. I have worn this everyday since I brought it. it can go from day to evening without any issue.",2
"Beautiful pallet in a perfect shade range for my blue/green eyes. The colors are pigmented and have great staying power; I did not use a eyeshadow primer and it lasted all day. I’ve been playing around with different color combos and look forward to using the glittery colors for upcoming holiday parties! If you’re considering buying this, I highly recommend it. Feels like luxury eyeshadow and I prefer it over any of the naked pallets I have!",0
Beautiful red packaging. The brush design makes it perfect for setting my under eye with powder. The only con for me is the synthetic bristles. They are soft however I prefer real hair with my face powders. I expect natural hair with Hakuho-do brushes.,3
"Beautiful shade for my fair skin. I apply it over my moisturizer.  No fading or creasing throughout the day, even in the hot weather. Love the SPF!  I originally  bought this to use during the summer, but now use it daily.  I pair it with Laura Mercier caviar sticks to finish the look. I have switched to  cream eyeshadow, because I was having  allergic reactions to certain powder formulas.  I have never had a problem with this product and it definitely has a brightening effect.",4
"Been using this for 2-3 months and works as described! Makes you skin feel really smooth right after 1st use! Does make your skin slightly brighter, very useful to not look too tired. A nice additional step to your skincare if you want your skin to look a bit more rejuvenated in the morning. Haven't noticed any changes on my pores so no comment on that part.",0
"Been using this for years and am very happy with the moisturizing effect and has a pleasant light scent and is not greasy unless you put on too much (which basically applies to any hand cream). I don't have ultra dry hands and this is what works for me. Don't know how it would work for those with super dry hands, but I like it for my needs.",3
"before I bought I read a lot of reviews saying it was really thick and should be mixed with a face oil so I was a little curious as to what it was actually like. I found out that yes it is a little thick, but if you rub it between your fingers to emulsify it then it absorbs a lot better and spreads beautifully. It is a little heavy for the summer (even for dry skin people like me) so in the summer I switch it to my night cream to still give intense moisture while sleeping.",0
"Being super pale I struggle finding a good bronzer that doesnt make me look like I smeared milk chocolate over my cheeks. \nI use a wide, thick brush and very lightly go over my skin with this bronzer and it does a wonderful job of giving me a sun-kissed look without appearing like Dracula who fell in mud and did a poor job of washing it off. It smells amazing as well, and is buildable to your taste.",1
Being used for a month this phenomenal B oil doing it job fantastic. Yes indeed it's a thick oil. 2drops and 1 drop of argan light oil works fantastically for fall to spring. Summer either omit or 1drop b oil and 1 drop argan light oil works fine with  any water base  moisturizer . Now it gives clearaty brightness and even out skin tone. I simply like,3
"Benefit cosmetics are the holy grail of my brows. I always go to benefit brow bar to get my eyebrow work done, I love benefit cosmetic brow products so I decided why not go for this tweezer? I am so glad I purchased this tweezer, it can cling on to the tiniest of hairs and has never failed me. Great purchase!",0
"best collagen supplement! I have tried several. this one is not chalky or chunky or gross. it dissolves well in water with just the right amount of fizz and it actually tastes good! I hope they make other yummy flavors but this one is good. I love HUM! I didn't want to commit to a 30 day supply through HUM for collagen after bad experiences with large tubs from other places (skinnyfit, vital proteins) so this was a great way to try it first.",1
"Best concealer I've used to date!! I have them  all.. tarte shape tape, ud naked, ud all nighter, TF born this way, sephora brand, ulta brand, you name it.. stumbled upon this one and I wont be using any others except for a cut crease.. this is a game changer. Does not look cakey, blends great, hydrating, ahh need I say more??",1
Best coverage ever. I've tried most foundations out there that claim to be full coverage.  This one is the best. it's better then the double wear in the glass bottle IMO. A little goes a long way with this one so you dont need much. I have discolorations and old acne scars and it covers it all. I set with Laura Mercier translucent powder. I use it with a beauty blender. Love Love Love,3
"Best ever! I used the Gimme Brow for the longest time, until the product size changed to a smaller version. At first, didn't like this packaging because of the extra step in removing the brush, unscrewing the cap. I also didn't care for the larger size for travel purposes. Another reason for loving Gimme Brows. Well, I bought this  two years ago, use it every day and still have half of the gel left, still in pristine condition, other than pulling away from the sides of the container. I absolutely love the brush because you can build the color, and it blends beautifully. I will not use any other eyebrow color because I am so happy with this one. Well worth it!",3
Best eyeliner ever!!! I have tried so many and they all ran at the outer corners of my eyes after a couple hours. I have not had a problem with this eyeliner and there are so many colors to choose from....absolutely love it!!,3
"Best Eye Liner Ever! I Usually Use A Cream Eye Liner Because Of Smooth Application And Bold Color But I Received This Pencil In A Trial Pack And Thought I Would Give It A Go. It Is My New Go To And Will Be Getting It In Other Colors! It Really Does Glide On And Stays Put. I Had Watery Eyes This Morning, Didn't move! I Groom Dogs And Had Some Shakers Today As Well, Covered In Suds And Water, It Still Didn't Move. My Job Is Pretty Hard On Makeup So If It Survives A Day I Am Impressed; This Not Only Survived It Looked As Fresh At The End Of The Day As It Did When I Left.",0
"Best inner lash liner I have honestly ever used. It took a bit of a learning curve (you have to dab it on and let it dry before blinking) but it lasts all day for me. I almost can't go without it on my top inner lash line. Unfortunately, I no longer want to support Kat Von D's product line for non-makeup related reasons, but I absolutely recommend this liner if you are in the market for one.",1
BEST MASK EVER!!! I'm so in love with this clay mask I'll never be without it again! I saw results right after the first time i used this and my skin has just been looking better and better after each use. My pores were barely visible after the second time I used this and i had enlarged pores. Thank you Sand & Sky for this AMAZING product!,4
BEST PALETTE EVER !!!!! I loveeeee this eye palette! The shimmer is ridiculous!!! I get so many compliments every time I wear this!! It stays on ALL DAY and does not irritate my skin!!! The blush is best used as an eyeshadow! :) The package is also super adorable!!  I am stocking up on these so I never run out!!! A+++++++++++,1
"Best part of this sponge is the unique curve around the middle and sharp, tiny pointed tip which is great for under eyes and around nose. Also nice if you wear eyeglasses for applying foundation under them. It did get a miniscule tear shortly after purchase, but nothing to complain about. I feel like the best approach with washing makeup sponges is to have short natural fingernails because I could see long nails, especially artificials, quickly destroying these. It's been about a month since I bought this and it's still relatively clean, though it can take several dabs of beauty blender cleanser and scrubbing to fully rid it of stains. Product pickup is just okay. I've never met a sponge that didn't require going over and over again with foundation, but I'm fairly new to the sponge game. In fact, unlike many other reviews, I've never tried the Beauty Blender sponge (prefer lesser priced options.) I have tried other brands and so far this is my favorite.",1
"best product! I'm totally addicted to the scent but ... wait for it..... A SCENT THAT ACTUALLY LASTS!  Did I mention it does a phenomenal job moisturizing the skin? wow, it's a must have for sure in my opinion!",2
"Best purchase ever. I'm not too good with eye make up and this makes it so easy . The mint shade is to die for . Strangely you can just use this for a complete eye look . If you're travelling , you can add a small matte palette plus this and you're golden . The formula is awesome, its all worth the heft price tag. Even when it fades , it fades to a lovely , sexy ,sophisticated sheen . I think this is the best among the three but if money is no object , I would purchase all three .",2
"Best skin care...bar none.  I have tried everything.  I have mature, sensitive skin and love this polish.  I see some comments about it being too harsh on their skin, but there is a sensitive skin version that is fantastic!  My skin glows!",3
"best tweezer out there but delicate, I would have given this 5 stars for sure If I had written my review just 5 minutes ago...before I fumbled them and they landed right on the tip and bent so bad it wount grip a single hair anymore. I was sitting down so it wasn't even that big of a fall. other than that there is not a single bad thing to say of these tweezers. will I spend the nearly $30 on them again? they are in my cart as I type this...I'll just need to be more careful...but it would be nice if they were made out of something a little more sturdy for the price point that they are.",2
"Best undereye brightening cream since Dior bb eye cream that was discontinued. Oh how I miss that! I was pleasantly surprised with this. The immediate effect is good, but with continued use of is even better. It is also very affordable.",2
"Best vitamin C serum out there!  I've used this on and off for 5 years, but always come back to it! I will layer it with my nightly retinol every other night and it's amazing! safe to dot around the contours of the eye also!!",2
"Beware all the reviews on here bashing this product because it didn't take away their shine. \nREAD THE DESCRIPTION! It does not say that it's a shine stopper or matifyer. It's even called SATIN skin mist. It says it won't add extra shine, which I fine to be accurate.\nThis a luxury skin mist at a luxury price. It's wonderful for setting makeup or refreshing during the day if it's in your price range. If you have oily skin, you'll still need a matifying primer.",2
"Beware, this color is not the same as pictured online. I was hoping it would have the peachy blush color as shown, but it's rather a straight up dim orange/beige. The scent is also VERY strong. I will try it a few more times before I decide if I want to keep it as a bronzer. Another thing, the compact is a LOT smaller than I expected.",3
"Big Night is a little brighter than I was expecting, but it's very pretty. This really does stay on without feeling cakey. I put a little balm over it after a few hours of wear, and it still didn't budge. And it has more depth than typical matte lipsticks. It has zero fragrance and is in a sleek little case. Feels like nothing but looks great!",3
"Biossance Serum smell terrible. Super goop sun screening has silicons as 2nd ingredient, how is it be a clean skincare?Caudalie Vinosource Moisturizing is mot moisturizing at all. Only good is the Prism. Total waste of money",3
bite beauty sent me this after reading my last review on the new formulated lip balm. I was very disappointed that they changed my favourite go to lip balm but was plesently surprised at how much I love this mask. I love wearing it at night time before bed but also I'm the morning before work.,0
"Black Cherry Baby is a beautiful, sheer berry gloss and I love that I can swipe it on from the stick instead of a doe foot applicator.  This shade looks beautiful on my NW10 skintone and because it's sheer, I can wear it with almost any makeup look.  One thing to remember, the stick clicks up but does not go down so only bring up enough to use.",2
"Blazing Sunset is SO pretty, and unique, I love the sultry pink..but I also own Sapphire Pink , Party, and Crystal Caves!! i think the names really drew me in!! But they are beautiful, and I have to get the adhesive!! These are stunning, and you get a good amount. They have a flip cap too. Highly Recommend!! Love the Pink ones!! Stock up for summer.",2
